time,topic,payload
1863,ecu,"{""sec"":18,""usec"":10665,""ect"":2.8454589840000000,""tps"":0,""iap"":2.8381347660000000,""gp"":0.88745117200000000}"
1869,rpm,"{""sec"":18,""usec"":11698,""rpm"":0}"
1875,rpm,"{""sec"":18,""usec"":59359,""rpm"":0}"
1899,stroke/front,"{""sec"":18,""usec"":82852,""left"":0.0072509770000000000,""right"":0.0024169920000000000}"
1931,acc,"{""sec"":18,""usec"":84453,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1939,water,"{""sec"":18,""usec"":109482,""inlet_temp"":0,""outlet_temp"":0}"
1950,stroke/rear,"{""sec"":18,""usec"":109804,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1963,ecu,"{""sec"":18,""usec"":110715,""ect"":2.8466796880000000,""tps"":0,""iap"":2.8381347660000000,""gp"":0.89233398400000000}"
1968,rpm,"{""sec"":18,""usec"":111761,""rpm"":0}"
1975,rpm,"{""sec"":18,""usec"":159405,""rpm"":0}"
2000,stroke/front,"{""sec"":18,""usec"":183035,""left"":0.0056396480000000000,""right"":0.0024169920000000000}"
2032,acc,"{""sec"":18,""usec"":184644,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
2040,water,"{""sec"":18,""usec"":209529,""inlet_temp"":0,""outlet_temp"":0}"
2050,stroke/rear,"{""sec"":18,""usec"":209847,""right"":3.2991943360000000,""left"":3.2991943360000000}"
2063,ecu,"{""sec"":18,""usec"":210761,""ect"":2.8454589840000000,""tps"":0,""iap"":2.8405761720000000,""gp"":2.3876953120000000}"
2069,rpm,"{""sec"":18,""usec"":211813,""rpm"":0}"
2075,rpm,"{""sec"":18,""usec"":259450,""rpm"":0}"
2100,stroke/front,"{""sec"":18,""usec"":283215,""left"":0.016918945000000000,""right"":0.0040283200000000000}"
2132,acc,"{""sec"":18,""usec"":284818,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
2140,water,"{""sec"":18,""usec"":309571,""inlet_temp"":0,""outlet_temp"":0}"
2147,stroke/rear,"{""sec"":18,""usec"":309892,""right"":0,""left"":0}"
2162,ecu,"{""sec"":18,""usec"":310275,""ect"":2.8503417970000000,""tps"":0.0012207030000000000,""iap"":2.8405761720000000,""gp"":2.3913574220000000}"
2168,rpm,"{""sec"":18,""usec"":311572,""rpm"":0}"
2175,rpm,"{""sec"":18,""usec"":359494,""rpm"":0}"
